,지점번호,지점명칭,위도,경도,주소,도로명 주소,유입방향,유입링크,유출방향,유출링크
0,A-01,성산로(금화터널),37.568588,126.948436,서울시 서대문구 신촌동 1-142,,[성산로]봉원고가차도->독립문역,1120006400,[성산로]독립문역->봉원고가차도,1120006300
1,A-02,사직로(사직터널),37.572298,126.962853,서울시 종로구 행촌동 1-186,,[사직로]독립문역->사직단,1000008000,[사직로]사직단->독립문역,1000007900
2,A-03,자하문로(자하문터널),37.588831,126.968548,서울시 종로구 청운동 24-6,,[자하문로]석파정->청운초등학교,1000019500,[자하문로]청운초등학교->석파정,1000019600
3,A-04,대사관로(삼청터널),37.596359,126.984209,서울시 성북구 성북동 산25-148,,[삼청로]삼청각->삼청공원입구,1000020100,[삼청로]삼청공원입구->삼청각,1000020200
4,A-05,율곡로(안국역),37.576,126.984342,서울시 종로구 경운동 90-4,서울시 종로구 율곡로 46,[율곡로]안국역->안국동사거리,1000012700,[율곡로]안국동사거리->안국역,1000012800
5,A-06,창경궁로(서울여자대학교),37.582526,126.998011,서울시 종로구 명륜4가 197-5,,[창경궁로]성균관대입구->원남동사거리,1000015500,[창경궁로]원남동사거리->성균관대입구,1000015600
6,A-07,대학로(한국방송통신대학교),37.578188,127.002053,서울시 종로구 연건동 72-3,,[대학로]혜화동로터리->이화사거리,1000015900,[대학로]이화사거리->혜화동로터리,1000016000
7,A-08,종로(동묘앞역),37.573262,127.017112,서울시 종로구 숭인동 273,서울시 종로구 종로 358,[종로]신설동역->동묘앞역,1000002300,[종로]동묘앞역->신설동역,1000002400
8,A-09,퇴계로(신당역),37.565712,127.020912,서울시 중구 황학동 710,서울시 중구 퇴계로 443,[퇴계로]상왕십리역->신당역,1010013200,[퇴계로]신당역->상왕십리역,1010013100
9,A-10,동호로(장충체육관),37.558563,127.007101,서울시 중구 장충동2가 200-99,서울시 중구 동호로 233-1,[동호로]약수역->장충체육관,1010001600,[동호로]장충체육관->약수역,1010001500
10,A-11,장충단로(장충단공원),37.556889,127.004655,서울시 중구 장충동2가 산6-6,,[장충단로]남산2호터널북단->장충체육관,1010001400,[장충단로]장충체육관->남산2호터널북단,1010001300
11,A-12,퇴계로(회현역),37.557432,126.976486,서울시 중구 남창동 236-2,서울시 중구 퇴계로 33,[퇴계로]서울역->회현역,1010002600,[퇴계로]회현역->서울역,1010002500
12,A-13,세종대로(서울역),37.558061,126.973439,서울시 중구 남대문로5가 84-15,서울시 중구 세종대로 16-2,[세종대로]서울역->숭례문,1010003000,[세종대로]숭례문->서울역,1010002900
13,A-14,새문안로(서울역사박물관),37.569776,126.971354,서울시 종로구 신문로2가 1-2,,[새문안로]서울역사박물관->광화문역,1000000100,[새문안로]광화문역->서울역사박물관,1000000200
14,A-15,종로(종로3가역),37.570216,126.990832,서울시 종로구 종로3가 137-3,서울시 종로구 종로 116-4,[종로]종로3가->종로2가,1000001100,[종로]종로2가->종로3가,1000001200
15,A-16,서소문로(시청역),37.562819,126.972716,서울시 중구 서소문동 72-2,서울시 중구 서소문로 107-1,[서소문로]경찰청앞->시청역,1010007400,[서소문로]시청역->경찰청앞,1010007300
16,A-17,세종대로(시청역2),37.567496,126.977208,서울시 중구 태평로1가 61-29,,[세종대로]서울시의회->덕수궁,1010018200,[세종대로]덕수궁->서울시의회,1010018100
17,A-18,을지로(을지로3가역),37.566114,126.989326,서울시 중구 을지로2가 149-10,서울시 중구 을지로 102-2,[을지로]을지로3가역->을지로2가,1010014300,[을지로]을지로2가->을지로3가역,1010014400
18,A-19,칠패로(숭례문),37.559593,126.972518,서울시 중구 봉래동1가 47-2,,[칠패로]염천교->숭례문,1010004000,[칠패로]숭례문->염천교,1010003900
19,A-20,남산1호터널,37.542406,127.001356,서울시 용산구 한남동 산 10-33,서울시 용산구 이태원로 281,[삼일대로]한남1고가차도->남산1호터널북단,1020020400,[삼일대로]남산1호터널북단->한남1고가차도,1020020300
20,A-21,남산2호터널,37.544301,126.989767,서울시 용산구 이태원동 262-35,,[녹사평대로58길]용암초등학교->남산2호터널북단,1020021600,[녹사평대로58길]남산2호터널북단->용암초등학교,1020021500
21,A-22,남산3호터널,37.544496,126.98835,서울시 용산구 용산동2가 5-432,,[녹사평대로]용암초등학교->남산3호터널북단,1020021200,[녹사평대로]남산3호터널북단->용암초등학교,1020021100
22,A-23,소월로(회현역),37.557044,126.976362,서울시 중구 남창동 217-1,,[소월로]도동삼거리->숭례문,1010002400,[소월로]숭례문->도동삼거리,1010002300
23,A-24,소파로(숭의여자대학교),37.554896,126.983521,서울시 중구 회현동1가 산1-16,서울시 중구 소파로 57,[소파로]백범광장->숭의여대,1010001200,[소파로]숭의여대->백범광장,1010001100
